0,1838,10
0,1744,10
0,14,10
0,2543,10
1,1009,10
1,1171,10
1,1465,10
1,2069,9
1,2080,7
1,1856,7
1,3799,7
1,1033,6
1,2717,6
1,300,6
1,1603,5
1,942,5
1,3678,5
1,952,5
1,815,5
2,3656,5
2,3459,5
2,1157,5
2,1993,5
3,386,5
3,2659,5
3,2160,5
3,1925,5
3,3511,5
3,372,5
3,1506,5
3,2303,5
3,1634,5
3,1706,5
3,3038,5
3,749,5
3,2790,5
3,452,5
3,1936,5
3,2915,4
3,2972,4
3,1100,4
3,2918,4
3,3026,4
3,2406,4
3,1673,4
3,11,4
3,3156,4
3,2250,4
3,2350,4
3,1050,4
3,1060,3
3,1457,3
3,3054,3
3,72,3
3,1553,3
3,1114,3
3,3525,3
3,2064,3
3,3791,3
3,1595,3
3,1177,3
3,1596,3
3,2935,3
3,545,3
3,1840,3
3,423,3
3,1788,3
3,2890,3
3,603,3
3,1498,3
3,703,3
3,1073,3
3,1422,3
3,3283,3
3,2590,2
3,3431,2
3,354,2
3,1720,2
3,3291,2
3,2773,2
3,2804,2
3,2476,2
3,2036,2
3,46,2
3,1986,2
3,2588,2
3,3507,2
3,566,2
4,667,2
4,1931,2
5,275,2
5,1874,2
5,3832,2
5,2847,2
5,1929,2
5,3237,2
5,1209,2
5,578,2
5,3852,2
5,1452,2
5,2361,2
5,590,2
5,2005,2
5,77,2
5,3409,2
5,2816,2
5,80,2
5,2454,2
5,1119,2
5,771,2
5,3204,2
5,2201,2
5,2764,2
5,1609,2
5,315,2
5,3550,2
5,1193,2
5,2344,2
5,1370,2
5,2593,2
5,2472,2
5,3221,2
5,3062,2
5,3747,2
5,3082,2
5,2713,2
5,911,2
6,556,2
6,2524,2
6,3839,2
6,2355,2
7,2170,2
7,495,2
3189,2109,2
3189,1920,2
3189,1961,2
3189,3651,2
3189,2179,2
3189,3339,2
3189,938,2
3189,48,2
3189,2549,2
3189,3122,2
3189,2984,2
3189,3870,2
3189,908,2
3189,2449,2
3189,3143,2
3189,965,2
3189,229,2
3189,1729,1
3189,3519,1
9,2848,1
9,444,1
9,2424,1
9,920,1
9,393,1
9,3316,1
9,455,1
9,130,1
9,2731,1
9,3536,1
9,3392,1
9,2126,1
9,2055,1
9,3135,1
9,450,1
9,245,1
9,2584,1
9,1190,1
9,1530,1
9,1617,1
9,1678,1
9,3238,1
9,3096,1
75,111,1
75,2801,1
75,187,1
75,3397,1
75,1268,1
75,516,1
75,2860,1
75,1864,1
11,386,1
11,2659,1
11,2160,1
11,1925,1
11,3511,1
11,372,1
11,1506,1
11,2915,1
11,2303,1
11,3376,1
11,1634,1
11,1706,1
11,749,1
11,2790,1
11,452,1
11,1936,1
11,2672,1
11,2972,1
11,1100,1
11,2918,1
11,3026,1
11,2406,1
11,1673,1
11,1553,1
11,2250,1
11,2350,1
11,1050,1
11,3662,1
11,1060,1
11,1788,1
11,1457,1
11,3054,1
11,72,1
11,1114,1
11,3476,1
11,76,1
11,3525,1
11,2064,1
11,3791,1
11,1595,1
11,1177,1
11,1596,1
11,2935,1
11,545,1
11,1840,1
11,423,1
11,1986,1
11,2890,1
11,603,1
11,1498,1
11,703,1
11,1073,1
11,1422,1
11,3283,1
11,2590,1
11,3431,1
11,354,1
11,1720,1
11,3291,1
11,3156,1
11,2804,1
11,2476,1
11,2036,1
11,46,1
11,3701,1
11,2588,1
11,3507,1
11,566,1
11,2773,1
12,3336,1
12,26,1
1865,1184,1
1865,2661,1
1865,1961,1
1865,2724,1
1865,3235,1
1865,1696,1
1865,342,1
1865,264,1
1865,126,1
